SampleID,Horvath,Hannum,PhenoAge
TCGA.D8.A1XB.01A.11D.A14H.05,88.45832241,69.76613781,97.57766064
TCGA.OL.A6VQ.01A.12D.A41Q.05,73.09706192,72.96178468,83.81543839
TCGA.B6.A0WV.01A.11D.A10A.05,55.11516781,81.76511871,88.78624318
TCGA.D8.A27R.01A.11D.A16G.05,45.6863224,60.81223285,69.40005753
TCGA.D8.A1JJ.01A.31D.A14N.05,65.13217958,62.81259946,84.69847071
TCGA.A2.A0EP.01A.52D.A230.05,61.37767595,66.32642171,47.10036446
TCGA.BH.A0HA.01A.11D.A12R.05,45.67315619,63.76342808,71.59003112
TCGA.BH.A28Q.01A.11D.A16G.05,70.20162944,73.34396654,64.17119118
TCGA.AR.A252.01A.11D.A16A.05,55.89229086,70.56779366,54.39877808
TCGA.A2.A259.01A.11D.A16G.05,71.49561032,70.39832607,89.5067455
TCGA.AR.A24T.01A.11D.A16A.05,79.07165173,64.69304437,97.37042921
TCGA.E2.A572.01A.13D.A31V.05,98.95559873,103.4199258,123.5584426
TCGA.BH.A0DI.01A.21D.A12R.05,79.15475883,74.57051572,80.48722572
TCGA.E2.A1IO.01A.11D.A145.05,36.80462745,44.30238293,81.3718366
TCGA.D8.A1XL.01A.11D.A14N.05,51.18279708,47.09717457,70.93600287
TCGA.B6.A1KI.01A.11D.A14N.05,76.7691693,73.32274932,71.26648092
TCGA.AO.A124.01A.11D.A10N.05,47.79243606,48.21668871,30.33997646
TCGA.B6.A0RM.01A.11D.A10P.05,75.09202832,113.5968324,90.41219539
TCGA.BH.A0BM.01A.11D.A10P.05,77.94478278,70.29981221,76.4058289
TCGA.A1.A0SH.01A.11D.A10P.05,38.75788993,64.04318476,54.05871839
TCGA.EW.A1PC.01B.11D.A21R.05,87.94595452,72.84450107,143.771747
